Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
269,Seton Hall,16,11,5,.688,10.01,5.32,,4,1,,8,1,,2,2,,1174,1099,,640,429,926,.463,87,272,.320,229,301,.761,207,598,209,122,64,215,251
270,Siena,15,2,13,.133,-20.71,-3.65,,1,3,,2,4,,0,7,,906,1162,,600,339,863,.393,75,289,.260,153,256,.598,203,544,163,80,64,245,230
271,South Alabama,16,8,8,.500,-6.95,-1.18,,1,3,,5,4,,3,4,,1169,1224,,660,418,974,.429,112,366,.306,221,299,.739,140,547,166,102,41,176,267
272,South Carolina,15,13,2,.867,9.98,0.64,,1,1,,9,0,,1,2,,1096,956,,600,381,870,.438,128,378,.339,206,280,.736,179,548,220,79,50,156,233
273,South Carolina State,18,4,14,.222,-15.11,-0.98,,0,2,,4,3,,0,11,,1286,1487,,725,462,1149,.402,102,332,.307,260,384,.677,284,686,260,156,63,271,380
274,South Carolina Upstate,15,5,10,.333,-10.78,-0.69,,0,2,,3,3,,2,7,,1086,1094,,610,394,905,.435,124,361,.343,174,271,.642,151,497,210,123,45,183,294
275,South Dakota,18,8,10,.444,-12.49,-4.69,,1,2,,5,3,,2,6,,1363,1374,,720,491,1099,.447,133,375,.355,248,351,.707,233,739,236,71,38,245,287
276,South Dakota State,17,9,8,.529,1.35,0.99,,2,0,,5,2,,2,2,,1294,1207,,680,479,1000,.479,152,416,.365,184,281,.655,151,611,234,115,58,208,259
277,South Florida,14,9,5,.643,2.94,-3.21,,2,1,,8,2,,0,3,,1070,984,,560,361,840,.430,109,329,.331,239,331,.722,147,515,204,104,50,149,257
278,Southeast Missouri State,17,6,11,.353,-18.35,-3.12,,1,3,,6,3,,0,7,,1191,1273,,685,431,1018,.423,113,368,.307,216,322,.671,157,554,222,99,52,218,341
279,Southeastern Louisiana,15,6,9,.400,-10.98,0.93,,1,1,,4,0,,2,7,,1017,1072,,600,366,852,.430,100,306,.327,185,271,.683,173,519,217,110,20,206,246
280,Southern,15,8,7,.533,-3.69,5.64,,2,0,,6,0,,2,7,,1127,1085,,605,413,936,.441,103,340,.303,198,295,.671,162,513,212,161,40,215,295
281,Southern California,16,8,8,.500,9.16,6.04,,2,3,,5,3,,1,3,,1247,1197,,645,431,946,.456,138,379,.364,247,349,.708,175,574,251,115,74,210,270
